英文原文	真实法文	模型预测法文
The train was so crowded that I had to stand all the way.	Le train était tellement bondé que je dus rester debout durant tout le voyage.	Le train était tellement <unk> que j'avais <unk>
You're going to be OK.	Tu vas être sur pieds.	Vous allez être <unk>
Are you sure about this?	En êtes-vous sûres ?	Es-tu sûre de ceci ?
This tree is more than a century old.	Cet arbre a plus d'un siècle.	Ce arbre est plus fort que un <unk>
Don't do anything stupid, OK?	Ne fais rien de stupide, d'accord ?	Ne faites rien de <unk> d'accord ?
Do you wash your hands before meals?	Vous lavez-vous les mains avant les repas ?	<unk> les mains avant de la <unk> ?
She is busy at present and can't speak to you.	Elle est occupée pour l'instant et ne peut te parler.	Elle est occupée à présent de ne pas vous parler.
I saw something interesting.	J'ai vu quelque chose d'intéressant.	J'ai vu quelque chose qui <unk>
Can this be just between you and me?	Ceci peut-il juste rester entre nous ?	Cela peut-il être juste entre moi et moi ?
Salt was a rare and costly commodity in ancient times.	Le sel était une denrée rare et chère dans les temps anciens.	<unk> était une <unk> et <unk> <unk>
I can't believe this is happening.	Je n'arrive pas à croire que ça se produit.	Je n'arrive pas à croire que ça arrive.
I'm happy you liked it.	Je suis heureux que tu l'aies aimé.	Je suis heureux que vous l'ayez aimé.
Nothing's going to happen tonight.	Il ne va rien se passer ce soir.	Rien ne va ce soir.
They robbed me blind.	Ils m'ont dépouillé.	Elles m'ont dépouillée.
He took out some coins.	Il retira quelques pièces.	Il sortit du <unk>
I actually haven't been to Boston yet.	Je n'ai en fait pas encore été à Boston.	Je n'ai pas encore été à Boston
All of us are happy.	Nous sommes tous contents.	Tout nous sommes heureux.
I will stand by you whatever happens.	Je serai à tes côtés quoi qu'il arrive.	Je vais supporter tout ce que tu as écrit.
I get the idea.	Je pige.	Je me suis <unk>
I will work.	Je travaillerai.	Je vais travailler.
What would you like to eat?	Qu'aimerais-tu manger ?	Que voudrais-tu manger manger ?
It's time you got married.	Il était temps que tu te maries.	C'est l'heure que vous avez mariés.
She snuck out the house without him knowing.	Elle s'est faufilée hors de la maison sans qu'il le sache.	Elle <unk> la maison sans lui sans sache.
When will the new magazine come out?	Quand le nouveau magazine paraîtra-t-il ?	Quand le nouveau système <unk>
I have one thousand dollars in travelers' checks and five hundred in cash.	J'ai mille dollars en chèques de voyage et cinq cents dollars en liquide.	J'ai une semaine, <unk> en plus tôt et cinq <unk>
Is it really possible to predict an earthquake?	Est-il vraiment possible de prévoir un tremblement de terre ?	Est-il vraiment possible à une <unk> ?
This is a daily occurrence.	Cela se produit tous les jours.	C'est un <unk>
I'll keep my eyes shut.	Je garderai les yeux fermés.	Je garderai mes yeux
How did you hear the news?	Comment avez-vous appris la nouvelle ?	Comment as-tu entendu la dernière ?
She testified that she saw the man.	Elle témoigna qu'elle avait vu l'homme.	Elle <unk> qu'elle vit la vue.
I had to change the rules.	Il m'a fallu changer les règles.	J'ai dû changer les règles.
I recognize that what he says is the truth.	Je reconnais que ce qu'il dit est la vérité.	Je reconnais ce qu'il dit qu'il dit la vérité.
He sat next to the stream.	Il s'assit au bord du ruisseau.	Il s'assit à côté de la <unk>
Tom has never gotten over Mary's death.	Tom ne s'est jamais remis de la mort de Marie.	Tom n'a jamais été renversé à Mary.
I'd love to come back next week.	J'aimerais revenir la semaine prochaine.	J'aimerais retourner la semaine prochaine.
Tom told me that Mary was good at playing the piano, but I didn't really believe him until I heard her play.	Tom m'a dit que Mary jouait bien du piano, mais je ne l'ai pas vraiment cru jusqu'à ce que je l'entende jouer.	Tom m'a dit que Marie était bon car je n'ai pas dû faire le <unk> mais je ne me <unk> pas dû pas fait de la peine dû me <unk> mais je ne l'ai pas fait <unk> mais je ne l'ai pas <unk>
Don't think about it too much.	N'y pensez pas trop.	Ne pensez-vous pas à ce sujet.
He is rich, but his older brother is poor.	Il est riche, mais son frère ainé est pauvre.	Il est riche, mais son frère est de son frère ainé.
The bus drivers are on strike today.	Les conducteurs de bus sont en grève aujourd'hui.	Les bus <unk> sont sur <unk> aujourd'hui.
That wasn't my intention.	Ce n'était pas mon intention.	Ce n'était pas mon intention.
They knocked on the door and said they had come to arrest him.	Ils frappèrent à la porte et dirent qu'ils étaient venus pour l'arrêter.	Ils ont trouvé sur la porte et la pluie se <unk>
I don't know what else we can do.	J'ignore ce que nous pouvons faire d'autre.	Je ne sais pas ce que nous pouvons faire.
We'll have plenty of time.	Nous aurons amplement le temps.	Nous devrons beaucoup de temps.
My brother is out.	Mon frère est sur la touche.	Mon frère est sorti.
The baby was naked.	Le bébé était nu.	Le bébé était nue.
You're exhausted.	Vous êtes épuisés.	Vous êtes épuisé.
She held him tightly and never wanted to let go.	Elle le tint fermement et ne voulut jamais lâcher.	Elle le tint et ne voulait jamais partir.
A bicycle will rust if you leave it in the rain.	Un vélo rouille, si tu le laisses sous la pluie.	Un vélo <unk> si vous <unk> dans la pluie.
Tom took credit for my idea.	Tom s'est attribué le mérite de mon idée.	Tom a pris de ma idée de ma chambre.
Do you have other family?	As-tu quelque autre parent ?	Avez-vous d'autres famille ?
I'll leave it up to you.	Je t'en laisserai la décision.	Je le <unk>
I have been living in Rio de Janeiro for four years.	J'habite à Rio de Janeiro depuis quatre ans.	J'ai été blessées à <unk> <unk> <unk> ans.
Do you want to take that risk?	Veux-tu encourir ce risque ?	Veux-tu prendre ce qui te chante ?
That remains to be seen.	Ça reste à voir.	Ça doit être <unk>
He ran his fingers through her hair.	Il fit courir ses doigts dans ses cheveux.	Il a couru son <unk> de ses cheveux <unk>
Be discreet.	Soyez discrète !	Soyez <unk>
Tom has a beautiful garden.	Tom a un beau jardin.	Tom a une belle jardin.
I'll do the best I can.	Je ferai de mon mieux.	Je ferai la meilleure chose que je peux.
I'm younger than I look.	Je suis plus jeune que je n'en ai l'air.	Je suis plus jeune que moi.
Tom is older than me.	Tom est plus âgé que moi.	Tom est plus vieux que moi.
No one knew quite what to say.	Personne ne savait vraiment quoi dire.	Personne ne savait quoi dire.
I apologize for that.	Je te présente mes excuses pour cela.	Je présente mes excuses pour ça.
I know it's not easy.	Je sais que ce n'est pas facile.	Je sais qu'il n'est pas aisé.
How about tomorrow?	Que dites-vous de demain ?	Que dis-tu de demain ?
I stayed home to rest.	Je restai à la maison afin de me reposer.	Je suis resté chez moi à la reposer.
How much do those things cost?	Combien coûtent ces choses-là ?	Combien coûtent ces choses ?
You're naive.	Vous êtes naïve.	Vous êtes naïf.
That is your book.	C'est ton livre.	C'est ton livre.
Your nose is running.	Ton nez coule.	Il est <unk>
You will know soon enough.	Vous le saurez bien assez tôt.	Tu sais que ça <unk>
Tell us all about it.	Parle-nous-en !	<unk> tout ce que ça <unk>
How many people were there?	Combien de gens étaient là ?	Combien de gens y a-t-il été ?
May I sit next to you?	Puis-je m'asseoir près de vous ?	Puis-je m'asseoir vous rendre visite ?
I want to find a good job.	Je veux trouver un bon travail.	Je veux trouver une bonne boulot.
It was in 1950 that he was born.	C'est en 1950 qu'il est né.	C'était dans ce <unk> il était né.
She got in the taxi.	Elle est montée dans un taxi.	Elle a eu dans le taxi.
They're back.	Ils sont de retour.	Elles sont en arrière.
That's what I always say.	C'est ce que je dis toujours.	C'est ce que j'ai toujours dit.
We were concerned.	Nous étions préoccupées.	Nous étions <unk>
I've never seen two people so much in love as Tom and Mary.	Je n'avais vu deux personnes s'aimer autant que Tom et Marie.	Je n'ai jamais vu deux personnes autant de deux fois que Tom et Mary.
He lost his eyesight.	Il perdit la vue.	Il perdit son vue.
Kids are cruel.	Les enfants sont cruels.	Les enfants sont <unk>
I want to know who sent you.	Je veux savoir qui vous a envoyées.	Je veux savoir qui t'a envoyé un courriel.
I only have one sister.	J'ai seulement une sœur.	Je n'ai qu'un été une sœur.
I never imagined I'd be working for you.	Je n'ai jamais imaginé que je travaillerais pour toi.	Je n'ai jamais imaginé que je serais en train de travailler pour vous.
She's drop-dead gorgeous.	Elle est bonne à tomber raide.	Elle est <unk>
Loneliness and being alone are not the same thing.	Le sentiment de solitude et le fait d'être seul ne sont pas la même chose.	Les <unk> et <unk> n'est pas la même chose.
Tom knew what Mary had done.	Tom savait ce que Marie avait fait.	Tom savait ce que Marie avait fait.
While reading a book, I fell asleep.	En lisant un livre, je me suis endormi.	<unk> de lire un <unk> je suis endormi.
We had a blast.	On s'est éclatées.	Nous avons eu une <unk>
It was heartless of him to say such a thing to the sick man.	C'était sans cœur de sa part de dire une telle chose à cet homme malade.	C'était <unk> de lui dire une telle chose pareille.
You must be a good cook.	Vous devez être un bon cuisiner.	Tu dois être un bon cuisinier.
You said you wanted the truth.	Tu as dit que tu voulais la vérité.	Tu as dit que vous vouliez la vérité.
As a matter of fact, she is my sister.	De fait, c'est ma sœur.	Comme il y a un <unk> c'est ma sœur.
If you add one hundred to one thousand, you get eleven hundred.	En additionnant cent et mille vous obtenez mille cent.	Si vous avez bu un <unk> <unk> tu <unk>
I wish we could settle this like adults.	J'aimerais que nous puissions régler ça comme des adultes.	J'aimerais disposer d'être <unk> cette discussion à se comporter
He bowed to the Queen.	Il s'inclina devant la reine.	Il a tendance à <unk>
Do you have a crowbar in your toolbox?	As-tu un pied-de-biche dans ta caisse à outils ?	Avez-vous un <unk> dans votre <unk> ?
Happy is the man who is content with his lot.	Heureux l'homme qui est satisfait de son sort.	Le homme est l'homme qui est son frère.
Do you like to be kept waiting?	Aimes-tu qu'on te fasse attendre ?	Aimez-vous être <unk> ?
Facebook is blocked in China.	Facebook est bloqué en Chine.	Le feu est tombé dans Chine.
I swim in the sea every day.	Je nage à la mer tous les jours.	Je nage dans le mer tous les jours.
Tom sounds angry.	Tom paraît énervé.	Tom semble énervé.
This is so frustrating.	C'est tellement contrariant.	C'est tellement <unk>
He will be back soon.	Il reviendra rapidement.	Il sera bientôt bientôt.
How do you put up with it?	Comment le supportes-tu ?	Comment supportes-tu le mettre ?
I'm a light sleeper.	Je dors peu.	Je suis un <unk>
I'd never hire Tom.	Je n'embaucherais jamais Tom.	Je ne <unk> jamais Tom.
He is a man of few words, but he always keeps his promise.	C'est un homme qui parle peu, mais qui tient toujours ses promesses.	Il est un homme de <unk> mais il a toujours sa vie.
That's what I usually do.	C'est ce que je fais habituellement.	C'est ce que j'ai habituellement
Darkness is the absence of light.	L'obscurité est l'absence de lumière.	Le <unk> est la lumière.
Hikers need to carry a compass with them to find their way through the woods.	Les randonneurs doivent emporter une boussole avec eux pour trouver leur chemin à travers les bois.	Il faut que <unk> une <unk> avec les <unk> de leur chemin de leur chemin de leurs <unk>
The streets of New York are very wide.	Les rues de New York sont très larges.	Les rues de New-York sont très <unk>
I am ashamed of my son's laziness.	J'ai honte de la paresse de mon fils.	J'ai honte de mon fils.
Do you smell something?	Sentez-vous quelque chose ?	Vous sentez-vous quelque chose ?
Why are they fighting?	Pourquoi se battent-elles ?	Pourquoi ils <unk> ?
I'll be happy to work with you.	Je serai heureuse de travailler avec vous.	Je serai heureux avec toi.
I like this color.	J'aime cette couleur.	J'aime cette couleur.
You'll get over this.	Tu t'en remettras.	Vous <unk> ça.
This is huge.	C'est énorme.	C'est <unk>
I know what they mean.	Je sais ce qu'ils insinuent.	Je sais ce qu'ils pensent.
If we knew what we were doing, it wouldn't be called research, would it?	Si l'on savait ce que l'on faisait, ça ne s'appellerait pas de la recherche, non ?	Si nous connaissons ce que nous étions incapables pas <unk>
Photography is now considered a new form of art.	La photographie est désormais considérée comme une nouvelle forme d'art.	Le <unk> est maintenant un nouveau <unk>
Be more careful from now on.	Soyez désormais plus prudents.	Soyez prudent à nouveau de plus en <unk>
I have hardly any English books.	Je n'ai pratiquement pas de livres d'anglais.	Je n'ai guère anglais.
